iter	Passed	Remaining
410	2158	3093
411	2160	3083
412	2168	3082
413	2170	3072
414	2172	3061
415	2173	3051
416	2175	3040
417	2181	3036
418	2183	3027
419	2184	3017
420	2186	3006
421	2187	2996
422	2189	2986
423	2190	2976
424	2199	2975
425	2200	2965
426	2202	2955
427	2203	2944
428	2204	2934
429	2206	2924
430	2212	2921
431	2215	2913
432	2217	2903
433	2219	2894
434	2220	2884
435	2228	2882
436	2230	2873
437	2232	2864
438	2233	2854
439	2235	2844
440	2236	2834
441	2242	2830
442	2244	2821
443	2246	2812
444	2248	2804
445	2250	2795
446	2252	2786
447	2254	2777
448	2255	2768
449	2257	2759
450	2258	2749
451	2260	2740
452	2261	2730
453	2264	2723
454	2268	2717
455	2281	2722
456	2284	2713
457	2285	2704
458	2287	2695
459	2288	2687
460	2294	2683
461	2296	2674
462	2298	2666
463	2302	2659
464	2316	2664
465	2324	2664
466	2326	2655
467	2328	2646
468	2329	2637
469	2331	2628
470	2344	2632
471	2345	2624
472	2347	2615
473	2349	2607
474	2377	2627
475	2379	2619
476	2381	2611
477	2390	2610
478	2393	2603
479	2395	2595
480	2397	2586
481	2404	2584
482	2406	2576
483	2408	2567
484	2410	2559
485	2411	2550
486	2413	2542
487	2419	2539
488	2421	2530
489	2423	2522
490	2425	2514
491	2427	2506
492	2429	2498
493	2431	2490
494	2432	2482
495	2434	2473
496	2435	2465
497	2436	2456
498	2438	2448
499	2445	2445
500	2447	2437
501	2448	2429
502	2451	2422
503	2453	2414
504	2454	2406
505	2458	2399
506	2464	2396
507	2467	2389
508	2469	2381
509	2470	2373
510	2472	2365
511	2473	2357
512	2475	2350
513	2480	2345
514	2482	2337
515	2483	2329
516	2485	2321
517	2486	2314
518	2493	2311
519	2496	2304
520	2498	2297
521	2500	2289
522	2502	2282
523	2510	2280
524	2512	2272
525	2513	2265
526	2515	2257
527	2516	2249
528	2518	2242
529	2526	2240
530	2528	2233
531	2529	2225
532	2531	2217
533	2532	2210
534	2542	2209
535	2543	2202
536	2545	2194
537	2547	2187
538	2549	2180
539	2556	2178
540	2558	2171
541	2560	2163
542	2561	2156
543	2563	2148
544	2564	2141
545	2572	2138
546	2573	2131
547	2577	2126
548	2579	2118
549	2580	2111
550	2585	2106
551	2586	2099
552	2588	2092
553	2589	2084
554	2591	2077
555	2592	2070
556	2594	2063
557	2595	2056
558	2602	2053
559	2604	2046
560	2605	2038
561	2606	2031
562	2607	2024
563	2609	2017
564	2610	2009
565	2612	2002
566	2616	1998
567	2618	1991
568	2619	1984
569	2621	1977
570	2622	1970
571	2624	1963
572	2625	1956
573	2631	1953
574	2633	1946
575	2634	1939
576	2636	1932
577	2637	1925
578	2639	1919
579	2640	1912
580	2646	1908
581	2647	1901
582	2649	1894
583	2650	1888
584	2652	1881
585	2653	1874
586	2655	1868
587	2670	1871
588	2672	1865
589	2680	1862
590	2681	1855
591	2683	1849
592	2684	1842
593	2686	1836
594	2688	1829
595	2693	1826
596	2695	1819
597	2696	1812
598	2697	1806
599	2699	1799
600	2700	1792
601	2701	1786
602	2702	1779
603	2708	1775
604	2710	1769
605	2711	1763
606	2713	1756
607	2715	1750
608	2717	1744
609	2718	1738
610	2725	1735
611	2727	1728
612	2730	1723
613	2731	1717
614	2733	1711
615	2744	1710
616	2749	1706
617	2758	1704
618	2760	1699
619	2762	1693
620	2764	1687
621	2770	1683
622	2772	1677
623	2774	1671
624	2775	1665
625	2776	1659
626	2778	1652
627	2779	1646
628	2788	1644
629	2789	1638
630	2790	1631
631	2792	1625
632	2793	1619
633	2794	1613
634	2795	1606
635	2801	1603
636	2803	1597
637	2804	1591
638	2806	1585
639	2807	1579
640	2809	1573
641	2810	1567
642	2817	1564
643	2819	1558
644	2820	1552
645	2822	1546
646	2823	1540
647	2824	1534
648	2826	1528
649	2828	1523
650	2830	1517
651	2832	1511
652	2833	1505
653	2835	1500
654	2841	1496
655	2843	1490
656	2844	1485
657	2845	1479
658	2846	1473
659	2848	1467
660	2849	1461
661	2850	1455
662	2857	1452
663	2858	1446
664	2860	1440
665	2861	1435
666	2863	1429
667	2864	1423
668	2866	1418
669	2872	1414
670	2873	1409
671	2875	1403
672	2876	1397
673	2877	1392
674	2879	1386
675	2880	1380
676	2881	1375
677	2886	1370
678	2888	1365
679	2890	1360
680	2891	1354
681	2893	1349
682	2895	1343
683	2897	1338
684	2903	1335
685	2904	1329
686	2906	1324
687	2907	1318
688	2908	1312
689	2909	1307
690	2911	1301
691	2912	1296
692	2919	1293
693	2920	1287
694	2923	1282
695	2924	1277
696	2926	1272
697	2928	1266
698	2934	1263
699	2935	1258
700	2937	1252
701	2938	1247
702	2940	1242
703	2941	1236
704	2942	1231
705	2943	1225
706	2945	1220
707	2950	1216
708	2951	1211
709	2952	1206
710	2954	1200
711	2961	1197
712	2962	1192
713	2964	1187
714	2965	1182
715	2966	1176
716	2967	1171
717	2969	1166
718	2970	1160
719	2976	1157
720	2977	1152
721	2979	1147
722	2981	1142
723	2983	1137
724	2984	1132
725	2995	1130
726	2996	1125
727	2997	1120
728	2999	1115
729	3001	1109
730	3006	1106
731	3008	1101
732	3009	1096
733	3011	1091
734	3012	1086
735	3014	1081
736	3015	1076
737	3028	1075
738	3030	1070
739	3032	1065
740	3034	1060
741	3035	1055
742	3037	1050
743	3038	1045
744	3039	1040
745	3041	1035
746	3042	1030
747	3049	1027
748	3050	1022
749	3051	1017
750	3053	1012
751	3054	1007
752	3055	1002
753	3056	997
754	3058	992
755	3063	988
756	3065	983
757	3066	979
758	3068	974
759	3069	969
760	3071	964
761	3072	959
762	3077	956
763	3079	951
764	3080	946
765	3081	941
766	3083	936
767	3084	931
768	3085	926
769	3087	922
770	3093	918
771	3095	914
772	3097	909
773	3099	904
774	3101	900
775	3102	895
776	3109	892
777	3110	887
778	3111	882
779	3113	878
780	3114	873
781	3116	868
782	3117	864
783	3118	859
784	3124	855
785	3126	851
786	3127	846
787	3129	841
788	3131	837
789	3134	833
790	3142	830
791	3145	825
792	3147	821
793	3149	817
794	3155	813
795	3158	809
796	3160	804
797	3162	800
798	3163	795
799	3165	791
800	3171	787
801	3172	783
802	3173	778
803	3175	774
804	3176	769
805	3177	764
806	3179	760
807	3180	755
808	3182	751
809	3185	747
810	3187	742
811	3188	738
812	3190	733
813	3195	730
814	3197	725
815	3199	721
816	3200	716
817	3202	712
818	3203	708
819	3205	703
820	3211	700
821	3212	695
822	3214	691
823	3215	686
824	3216	682
825	3218	677
826	3220	673
827	3228	670
828	3229	666
829	3230	661
830	3232	657
831	3233	652
832	3234	648
833	3235	644
834	3237	639
835	3239	635
836	3240	631
837	3241	626
838	3243	622
839	3244	618
840	3246	613
841	3253	610
842	3254	606
843	3255	601
844	3256	597
845	3258	593
846	3259	588
847	3261	584
848	3267	581
849	3268	576
850	3270	572
851	3272	568
852	3273	564
853	3274	559
854	3276	555
855	3284	552
856	3285	548
857	3287	544
858	3288	539
859	3291	535
860	3298	532
861	3299	528
862	3301	524
863	3302	519
864	3304	515
865	3305	511
866	3306	507
867	3313	503
868	3315	499
869	3316	495
870	3318	491
871	3319	487
872	3320	483
873	3321	478
874	3322	474
875	3329	471
876	3330	467
877	3331	462
878	3333	458
879	3334	454
880	3336	450
881	3337	446
882	3344	443
883	3345	439
884	3347	434
885	3348	430
886	3349	426
887	3350	422
888	3352	418
889	3354	414
890	3359	410
891	3360	406
892	3362	402
893	3363	398
894	3365	394
895	3367	390
896	3374	387
897	3376	383
898	3379	379
899	3381	375
900	3383	371
901	3388	368
902	3390	364
903	3392	360
904	3394	356
905	3396	352
906	3398	348
907	3405	345
908	3407	341
909	3409	337
910	3413	333
911	3414	329
912	3420	325
913	3421	321
914	3423	318
915	3424	314
916	3426	310
917	3428	306
918	3429	302
919	3435	298
920	3437	294
921	3438	290
922	3439	286
923	3441	283
924	3442	279
925	3443	275
926	3445	271
927	3451	267
928	3453	263
929	3455	260
930	3456	256
931	3458	252
932	3459	248
933	3466	244
934	3468	241
935	3470	237
936	3471	233
937	3473	229
938	3474	225
939	3475	221
940	3482	218
941	3484	214
942	3486	210
943	3488	206
944	3490	203
945	3497	199
946	3498	195
947	3500	191
948	3501	188
949	3502	184
950	3504	180
951	3505	176
952	3506	172
953	3513	169
954	3515	165
955	3516	161
956	3518	158
957	3520	154
958	3521	150
959	3529	147
960	3531	143
961	3533	139
962	3535	135
963	3538	132
964	3541	128
965	3553	125
966	3567	121
967	3572	118
968	3574	114
969	3577	110
970	3579	106
971	3582	103
972	3584	99
973	3586	95
974	3592	92
975	3595	88
976	3599	84
977	3600	80
978	3601	77
979	3611	73
980	3612	69
981	3614	66
982	3616	62
983	3618	58
984	3624	55
985	3627	51
986	3629	47
987	3631	44
988	3633	40
989	3643	36
990	3644	33
991	3646	29
992	3647	25
993	3649	22
994	3662	18
995	3675	14
996	3677	11
997	3678	7
998	3680	3
999	3681	0
